Timestamp,Redemption Count,Sales Count,month,quarter,year,dayofweek,dayofyear,Redemption_lag_1,Redemption_lag_7,Sales_lag_1,Sales_lag_7,Redemption_rolling_mean_7,Redemption_rolling_mean_30,Sales_rolling_mean_7,Sales_rolling_mean_30,is_weekend,is_holiday,is_festival_event,covid_phase,is_covid,dayofweek_sin,dayofweek_cos,dayofyear_sin,dayofyear_cos,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Total Precip (mm)
2015-05-30,3054,3111,5,2,2015,0.8333333333333333,0.40821917808219177,4221.0,6401.0,4663.0,7058.0,3388.714285714286,2575.4666666666667,3889.1428571428573,3222.5333333333333,1,0,0,0,0,0.6801727377709194,0.7330518718298263,0.007007911877991659,0.9999754442840636,28.0,11.9,20.0,0.0,22.5
2015-05-31,406,609,5,2,2015,1.0,0.4109589041095891,3054.0,8208.0,3111.0,9279.0,2274.1428571428573,2588.9666666666667,2650.5714285714284,3242.7,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.00705494406588943,0.9999751135724464,11.9,7.4,9.7,8.3,20.5
2015-06-01,1116,1809,6,2,2015,0.0,0.4136986301369863,406.0,1221.0,609.0,1540.0,2259.1428571428573,2626.1666666666665,2689.0,3303.0,0,0,0,0,0,0.0,1.0,0.007101976238180703,0.9999747806487483,15.0,9.5,12.3,5.7,0.0
2015-06-02,3025,3234,6,2,2015,0.16666666666666666,0.41643835616438357,1116.0,2345.0,1809.0,2997.0,2356.285714285714,2727.0,2722.8571428571427,3410.8,0,0,0,0,0,0.14904226617617441,0.9888308262251285,0.007149008394761439,0.9999744455129699,18.1,10.0,14.1,3.9,0.0
2015-06-03,2719,3977,6,2,2015,0.3333333333333333,0.4191780821917808,3025.0,1898.0,3234.0,2390.0,2473.5714285714284,2817.233333333333,2949.5714285714284,3540.866666666667,0,0,0,0,0,0.29475517441090415,0.9555728057861408,0.007196040535527595,0.999974108165112,17.9,10.3,14.1,3.9,0.0
2015-06-04,3432,3683,6,2,2015,0.5,0.42191780821917807,2719.0,2774.0,3977.0,3244.0,2567.5714285714284,2913.733333333333,3012.285714285714,3645.3333333333335,0,0,0,0,0,0.4338837391175581,0.9009688679024191,0.007243072660375131,0.9999737686051752,22.0,11.9,17.0,1.0,0.0
2015-06-05,3306,3389,6,2,2015,0.6666666666666666,0.4246575342465754,3432.0,4221.0,3683.0,4663.0,2436.8571428571427,2990.9666666666667,2830.285714285714,3713.0333333333333,0,0,0,0,0,0.563320058063622,0.8262387743159949,0.007290104769200004,0.9999734268331605,24.5,13.5,19.0,0.0,20.8
2015-06-06,6200,9082,6,2,2015,0.8333333333333333,0.4273972602739726,3306.0,3054.0,3389.0,3111.0,2886.285714285714,3152.866666666667,3683.285714285714,3943.4333333333334,1,0,0,0,0,0.6801727377709194,0.7330518718298263,0.007337136861898174,0.9999730828490684,16.6,11.0,13.8,4.2,0.0
2015-06-07,8046,8547,6,2,2015,1.0,0.4301369863013699,6200.0,406.0,9082.0,609.0,3977.714285714286,3350.8,4817.285714285715,4115.333333333333,1,0,0,0,0,0.7818314824680298,0.6234898018587336,0.007384168938365598,0.9999727366528998,19.5,10.1,14.8,3.2,2.2
2015-06-08,775,1194,6,2,2015,0.0,0.4328767123287671,8046.0,1116.0,8547.0,1809.0,3929.0,3189.8333333333335,4729.428571428572,3950.3,0,0,0,0,0,0.0,1.0,0.007431200998498236,0.9999723882446554,22.8,16.4,19.6,0.0,33.3
2015-06-09,1525,2001,6,2,2015,0.16666666666666666,0.43561643835616437,775.0,3025.0,1194.0,3234.0,3714.714285714286,3140.233333333333,4553.285714285715,3898.5333333333333,0,0,0,0,0,0.14904226617617441,0.9888308262251285,0.007478233042192046,0.9999720376243361,23.0,14.9,19.0,0.0,0.4
2015-06-10,1858,3192,6,2,2015,0.3333333333333333,0.4383561643835617,1525.0,2719.0,2001.0,3977.0,3591.714285714286,3189.0,4441.142857142857,3974.6666666666665,0,0,0,0,0,0.29475517441090415,0.9555728057861408,0.0075252650693429885,0.9999716847919425,27.4,13.5,20.5,0.0,24.6
2015-06-11,3134,7881,6,2,2015,0.5,0.4410958904109589,1858.0,3432.0,3192.0,3683.0,3549.1428571428573,3276.4,5040.857142857143,4116.333333333333,0,0,0,0,0,0.4338837391175581,0.9009688679024191,0.007572297079847019,0.9999713297474756,23.7,13.3,18.5,0.0,0.0
2015-06-12,3282,4225,6,2,2015,0.6666666666666666,0.4438356164383562,3134.0,3306.0,7881.0,3389.0,3545.714285714286,3364.366666666667,5160.285714285715,4217.8,0,0,1,0,0,0.563320058063622,0.8262387743159949,0.0076193290736000984,0.9999709724909359,18.6,14.9,16.8,1.2,4.7
2015-06-13,2017,12871,6,2,2015,0.8333333333333333,0.4465753424657534,3282.0,6200.0,4225.0,9082.0,2948.1428571428573,3372.4666666666667,5701.571428571428,4561.4,1,0,1,0,0,0.6801727377709194,0.7330518718298263,0.0076663610504981855,0.9999706130223245,22.3,15.2,18.8,0.0,0.0
